IDENTITY	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_dj	p_colon	N_dj	N_colon
GC_00002830	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002830	GC_00002830	0	0.1667	12	12
GC_00002848	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002848	GC_00002848	0	0.1667	12	12
GC_00002642	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002642	GC_00002642	0	0.1667	12	12
GC_00002842	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002842	GC_00002842	0	0.1667	12	12
GC_00002658	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002658	GC_00002658	0	0.1667	12	12
GC_00002827	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002827	GC_00002827	0	0.1667	12	12
GC_00002819	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002819	GC_00002819	0	0.1667	12	12
GC_00002893	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002893	GC_00002893	0	0.1667	12	12
GC_00002736	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002736	GC_00002736	0	0.1667	12	12
GC_00002661	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002661	GC_00002661	0	0.1667	12	12
GC_00002786	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002786	GC_00002786	0	0.1667	12	12
GC_00002682	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002682	GC_00002682	0	0.1667	12	12
GC_00002793	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002793	GC_00002793	0	0.1667	12	12
GC_00002718	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002718	GC_00002718	0	0.1667	12	12
GC_00002654	2.18181829270146	0.13964938855059078	0.862102002820061	colon	GC_00002654	GC_00002654	0	0.1667	12	12
GC_00002698	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002698	GC_00002698	0.1667	0	12	12
GC_00002869	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002869	GC_00002869	0.1667	0	12	12
GC_00002722	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002722	GC_00002722	0.1667	0	12	12
GC_00002643	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002643	GC_00002643	0.1667	0	12	12
GC_00002724	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002724	GC_00002724	0.1667	0	12	12
GC_00002730	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002730	GC_00002730	0.1667	0	12	12
GC_00002742	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002742	GC_00002742	0.1667	0	12	12
GC_00002734	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002734	GC_00002734	0.1667	0	12	12
GC_00002635	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002635	GC_00002635	0.1667	0	12	12
GC_00002612	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002612	GC_00002612	0.1667	0	12	12
GC_00002783	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002783	GC_00002783	0.1667	0	12	12
GC_00002879	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002879	GC_00002879	0.1667	0	12	12
GC_00002729	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002729	GC_00002729	0.1667	0	12	12
GC_00002761	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002761	GC_00002761	0.1667	0	12	12
GC_00002799	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002799	GC_00002799	0.1667	0	12	12
GC_00002638	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002638	GC_00002638	0.1667	0	12	12
GC_00002833	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002833	GC_00002833	0.1667	0	12	12
GC_00002841	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002841	GC_00002841	0.1667	0	12	12
GC_00002865	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002865	GC_00002865	0.1667	0	12	12
GC_00002826	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002826	GC_00002826	0.1667	0	12	12
GC_00002757	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002757	GC_00002757	0.1667	0	12	12
GC_00002875	2.1818182927014593	0.13964938855059028	0.862102002820061	dj	GC_00002875	GC_00002875	0.1667	0	12	12
